Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.01     0.00     1099     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_destroy_node(std::_Rb_tree_node<void*>*)
  0.00      0.01     0.00     1099     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.01     0.00     1092     0.00     0.00  std::vector<void*, std::allocator<void*> >::push_back(void* const&)
  0.00      0.01     0.00     1091     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<void*> >::allocate(unsigned int, void const*)
  0.00      0.01     0.00     1091     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<void*> >::max_size() const
  0.00      0.01     0.00     1088     0.00     0.00  __gnu_cxx::new_allocator<int>::construct(int*, int const&)
  0.00      0.01     0.00     1088     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.01     0.00     1087     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_get_node()
  0.00      0.01     0.00     1086     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_create_node(void* const&)
  0.00      0.01     0.00     1003     0.00     0.00  std::_Vector_base<void*, std::allocator<void*> >::_Vector_impl::_Vector_impl(std::allocator<void*> const&)
