Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
                0.00    0.00       6/10          std::_Iter_base<void**, false>::_S_base(void**) [7]
-----------------------------------------------
                0.00    0.00       1/5           std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::~vector() [133]
                0.00    0.00       1/5           std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::_M_erase_at_end(void* (**)(void*)) [128]
                0.00    0.00       3/5           std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::_M_insert_aux(__gnu_cxx::__normal_iterator<void* (**)(void*), std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> > >, void* (* const&)(void*)) [127]
[10]     0.0    0.00    0.00       5         std::_Vector_base<void* (*)(void*), std::allocator<void* (*)(void*)> >::_M_get_Tp_allocator() [10]
-----------------------------------------------
                0.00    0.00       1/5           std::vector<void*, std::allocator<void*> >::~vector() [140]
                0.00    0.00       1/5           std::vector<void*, std::allocator<void*> >::_M_erase_at_end(void**) [135]
                0.00    0.00       3/5           std::vector<void*, std::allocator<void*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > >, void* const&) [134]
[11]     0.0    0.00    0.00       5         std::_Vector_base<void*, std::allocator<void*> >::_M_get_Tp_allocator() [11]
-----------------------------------------------
                0.00    0.00       2/4           std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::_M_insert_aux(__gnu_cxx::__normal_iterator<void* (**)(void*), std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> > >, void* (* const&)(void*)) [127]
                0.00    0.00       2/4           __gnu_cxx::__normal_iterator<void* (**)(void*), std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> > >::difference_type __gnu_cxx::operator-<void* (**)(void*), std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> > >(__gnu_cxx::__normal_iterator<void* (**)(void*), std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> > > const&, __gnu_cxx::__normal_iterator<void* (**)(void*), std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> > > const&) [109]
[12]     0.0    0.00    0.00       4         __gnu_cxx::__normal_iterator<void* (**)(void*), std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> > >::base() const [12]
-----------------------------------------------
                0.00    0.00       2/4           std::vector<void*, std::allocator<void*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > >, void* const&) [134]
                0.00    0.00       2/4           __gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > >::difference_type __gnu_cxx::operator-<void**, std::vector<void*, std::allocator<void*> > >(__gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > > const&, __gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > > const&) [110]
[13]     0.0    0.00    0.00       4         __gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > >::base() const [13]
-----------------------------------------------
                0.00    0.00       4/4           std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::_M_check_len(unsigned int, char const*) const [111]
[14]     0.0    0.00    0.00       4         std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::size() const [14]
-----------------------------------------------
                0.00    0.00       4/4           std::vector<void*, std::allocator<void*> >::_M_check_len(unsigned int, char const*) const [112]
[15]     0.0    0.00    0.00       4         std::vector<void*, std::allocator<void*> >::size() const [15]
-----------------------------------------------
                0.00    0.00       4/4           void* (**std::copy<void* (**)(void*), void* (**)(void*)>(void* (**)(void*), void* (**)(void*), void* (**)(void*)))(void*) [94]
[16]     0.0    0.00    0.00       4         std::_Miter_base<void* (**)(void*)>::iterator_type std::__miter_base<void* (**)(void*)>(void* (**)(void*)) [16]
                0.00    0.00       4/10          std::_Iter_base<void* (**)(void*), false>::_S_base(void* (**)(void*)) [6]
-----------------------------------------------
                0.00    0.00       4/4           void** std::copy<void**, void**>(void**, void**, void**) [95]
[17]     0.0    0.00    0.00       4         std::_Miter_base<void**>::iterator_type std::__miter_base<void**>(void**) [17]
                0.00    0.00       4/10          std::_Iter_base<void**, false>::_S_base(void**) [7]
-----------------------------------------------
                0.00    0.00       2/4           __gnu_cxx::new_allocator<void* (*)(void*)>::construct(void* (**)(void*), void* (* const&)(void*)) [30]
                0.00    0.00       2/4           __gnu_cxx::new_allocator<void*>::construct(void**, void* const&) [31]
[18]     0.0    0.00    0.00       4         operator new(unsigned int, void*) [18]
-----------------------------------------------
                0.00    0.00       1/3           __gnu_cxx::new_allocator<void* (*)(void*)>::allocate(unsigned int, void const*) [102]
                0.00    0.00       2/3           std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::max_size() const [40]
[19]     0.0    0.00    0.00       3         __gnu_cxx::new_allocator<void* (*)(void*)>::max_size() const [19]
-----------------------------------------------
                0.00    0.00       1/3           __gnu_cxx::new_allocator<void*>::allocate(unsigned int, void const*) [106]
                0.00    0.00       2/3           std::vector<void*, std::allocator<void*> >::max_size() const [41]
[20]     0.0    0.00    0.00       3         __gnu_cxx::new_allocator<void*>::max_size() const [20]
-----------------------------------------------
